Index,Frequency,Percentage,Word,Desc,Code,Translit,Len
372,256.9,53.72, неделя , сущ неод ед жен им ,11177,nedelja,7
373,255.37,53.74, послать , гл сов перех инф ,63824,poslat',7
375,254.33,53.79, ребята , сущ одуш мн им ,1587225,rebjata,7
377,253.35,53.84, встать , гл сов непер инф ,58844,vstat',6
380,252.98,53.92, шаг , сущ неод ед муж им ,35433,shag,4
382,252.49,53.97, мало , нар опред степ ,201209,malo,4
383,252.49,54.0, нос , сущ неод ед муж им ,28959,nos,3
385,252.19,54.05, капитан , сущ одуш ед муж им ,26223,kapitan,7
386,250.17,54.07, туда , нар обст напр ,205907,tuda,4
387,250.17,54.1, ухо , сущ неод ед ср им ,45869,uho,3
388,250.11,54.12, сюда , нар обст напр ,205721,sjuda,5
389,249.62,54.15, играть , гл несов пер/не инф ,60481,igrat',6
392,247.9,54.22, великий , прл ед муж им ,47602,velikij,7
396,246.19,54.32, спать , гл несов непер инф ,66020,spat',5
398,244.54,54.37, войти , гл сов непер инф ,58676,vojti,5
399,244.05,54.39, длинный , прл ед муж им ,48803,dlinnyj,7
406,240.44,54.56, берег , сущ неод ед муж им ,23031,bereg,5
407,239.52,54.59, семья , сущ неод ед жен им ,17835,sem'ja,6
408,239.4,54.61, искать , гл несов пер/не инф ,60768,iskat',6
409,239.21,54.63, генерал , сущ одуш ед муж им ,24255,general,7
410,238.6,54.66, момент , сущ неод ед муж им ,28377,moment,6
411,237.56,54.68, десять , числ кол им ,4015097,desjat',7
412,237.38,54.71, начать , гл сов пер/не инф ,61509,nachat',7
414,237.19,54.75, личный , прл ед муж им ,50848,lichnyj,7
415,236.7,54.78, труд , сущ неод ед муж им ,34245,trud,4
416,236.21,54.8, верить , гл несов непер инф ,58410,verit',6
417,235.6,54.82, группа , сущ неод ед жен им ,4511,gruppa,6
418,235.48,54.85, немного , нар опред степ ,202271,nemnogo,7
420,234.99,54.89, видно , предик ,208311,vidno,5
422,234.68,54.94, муж , сущ одуш ед муж им ,1218971,muzh,4
423,231.93,54.96, разве , част ,207623,razve,5
426,229.66,55.03, ответ , сущ неод ед муж им ,29403,otvet,5
427,229.48,55.06, тихо , нар опред кач ,205789,tiho,4
429,228.44,55.1, газета , сущ неод ед жен им ,3731,gazeta,6
431,225.26,55.15, сильный , прл ед муж им ,55529,sil'nyj,7
432,224.83,55.17, собака , сущ одуш ед жен им ,18537,sobaka,6
433,224.83,55.19, скорый , прл ед муж им ,55644,skoryj,6
434,224.52,55.22, дерево , сущ неод ед ср им ,38381,derevo,6
435,224.4,55.24, снег , сущ неод ед муж им ,32841,sneg,4
436,224.22,55.26, сон , сущ неод ед муж им ,32937,son,3
437,222.93,55.28, смысл , сущ неод ед муж им ,32829,smysl,5
438,222.62,55.3, смочь , гл сов непер инф ,65712,smoch',6
439,222.32,55.33, против , предл род ,4128169,protiv,6
440,221.77,55.35, бежать , гл несов пер/не инф ,58200,bezhat',7
441,221.64,55.37, двор , сущ неод ед муж им ,24711,dvor,4
442,221.4,55.39, форма , сущ неод ед жен им ,21303,forma,5
443,221.03,55.42, простой , прл ед муж им ,54569,prostoj,7
445,220.48,55.46, иной , прл ед муж им ,49833,inoj,4
449,219.38,55.55, зеленый , прл ед муж им ,49523,zelenyj,7
450,218.95,55.57, грудь , сущ неод ед жен им ,4493,grud',5
451,217.91,55.59, угол , сущ неод ед муж им ,142137,ugol,4
452,217.67,55.61, открыть , гл сов перех инф ,62264,otkryt',7
453,217.36,55.63, ладно , част ,207516,ladno,5
455,216.87,55.68, черный , сущ одуш ед муж им ,143585,chernyj,7
456,216.63,55.7, век , сущ неод ед муж им ,23589,vek,3
457,216.56,55.72, карман , сущ неод ед муж им ,26295,karman,6
458,216.14,55.74, ехать , гл несов непер инф ,72579,ehat',5
459,216.01,55.76, немец , сущ одуш ед муж им ,134545,nemets,6
461,215.4,55.81, губа , сущ неод ед жен им ,4559,guba,4
462,214.67,55.83, дядя , сущ одуш ед муж им ,129592,djadja,6
464,214.54,55.87, часто , нар опред кач ,206311,chasto,6
465,214.48,55.89, домой , нар обст напр ,200041,domoj,5
466,214.36,55.92, огонь , сущ неод ед муж им ,135078,ogon',5
468,213.14,55.96, армия , сущ неод ед жен им ,145141,armija,6
470,211.54,56.0, зуб , сущ неод ед муж им ,25695,zub,3
472,210.32,56.04, кой , мест прил ед муж им ,4014315,koj,3
474,209.77,56.08, камень , сущ неод ед муж им ,130789,kamen',6
475,209.65,56.11, гость , сущ одуш ед муж им ,1207923,gost',5
477,209.16,56.15, ветер , сущ неод ед муж им ,127536,veter,5
478,208.85,56.17, попасть , гл сов непер инф ,63488,popast',7
482,206.83,56.25, поехать , гл сов непер инф ,63124,poehat',7
483,206.83,56.27, либо , союз ,207178,libo,4
484,205.06,56.29, уметь , гл несов непер инф ,66761,umet',5
489,203.77,56.39, рота , сущ неод ед жен им ,17223,rota,4
490,202.79,56.41, закон , сущ неод ед муж им ,25485,zakon,5
492,201.63,56.46, море , сущ неод ед ср им ,170297,more,4
